Fecha,Titulo,Tema,Descripcion,Red Social,Hora Publicación,Video_URL,Duracion,Estado
2026-02-05,Tips IA para Negocios,Automatización B2B,GENERADO_POR_IA,TikTok|YouTube,18:00,,60,Pendiente
2026-02-07,Case Study Cliente,Success Story,GENERADO_POR_IA,TikTok|YouTube,19:00,,45,Pendiente
2026-02-09,Tutorial Rápido,How-to Automation,GENERADO_POR_IA,YouTube,11:00,,120,Pendiente
2026-02-11,Tendencia IA 2026,AI Trends,GENERADO_POR_IA,TikTok|YouTube,18:00,,60,Pendiente
2026-02-13,Behind the Scenes,Team/Process,GENERADO_POR_IA,TikTok,19:00,,30,Pendiente
2026-02-15,Demo Producto,Product Showcase,GENERADO_POR_IA,YouTube,14:00,,90,Pendiente
2026-02-17,FAQ Automatización,Q&A,GENERADO_POR_IA,TikTok|YouTube,18:00,,60,Pendiente
2026-02-19,Cliente Testimonio,Social Proof,GENERADO_POR_IA,TikTok,19:00,,30,Pendiente
2026-02-21,Comparación IA Tools,Tool Review,GENERADO_POR_IA,YouTube,15:00,,180,Pendiente
2026-02-23,Quick Win Automation,Productivity Hack,GENERADO_POR_IA,TikTok|YouTube,18:00,,45,Pendiente
